"[AA]죄종별","죄종별","[BB]공범관계별","공범관계별","[Item]항목","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"00","계","BB1","계","BB1[14STD04548]","범죄자[명]","명","1815233","1723815","1741302","1712435","1771390","1847605","1685461","1581922","1585638","1494421",
"00","계","BB3","단독범","BB1[14STD04548]","범죄자[명]","명","1506046","961402","994990","980013","1370762","1489219","1339175","867208","862640","803424",
"00","계","BB2","공범관계","BB1[14STD04548]","범죄자[명]","명","","293327","253744","238106","207490","210059","193044","195026","190757","180786",
"00","계","BB201","학교동창","BB1[14STD04548]","범죄자[명]","명","25980","28431","22378","18485","16615","15185","14315","13003","12100","10200",
"00","계","BB202","교도소.소년원동료","BB1[14STD04548]","범죄자[명]","명","814","870","751","698","825","732","756","761","841","788",
"00","계","BB203","직장동료","BB1[14STD04548]","범죄자[명]","명","38397","33662","33281","31754","26431","27133","26061","21579","21237","19341",
"00","계","BB204","친인척","BB1[14STD04548]","범죄자[명]","명","17138","16803","15369","14577","12416","12030","11706","10957","9985","9016",
"00","계","BB205","군동료","BB1[14STD04548]","범죄자[명]","명","459","380","401","320","226","189","188","237","174","199",
"00","계","BB206","동네친구","BB1[14STD04548]","범죄자[명]","명","50994","53175","46474","40843","39650","38670","36974","34345","34496","34732",
"00","계","BB207","고향친구","BB1[14STD04548]","범죄자[명]","명","8159","6880","6619","6114","6187","5728","5430","4546","4517","4335",
"00","계","BB208","애인","BB1[14STD04548]","범죄자[명]","명","5295","5847","5600","5382","4188","4198","4248","4133","4220","3835",
"00","계","BB209","기타","BB1[14STD04548]","범죄자[명]","명","161951","147279","122871","119933","100952","106194","93366","105465","103187","98340",
"00","계","BB4","미상","BB1[14STD04548]","범죄자[명]","명","","469086","492568","494316","193138","148327","153242","519688","532241","510211",
"01","강력범죄","BB1","계","BB1[14STD04548]","범죄자[명]","명","25346","23789","25351","25065","25821","27071","28927","28302","28943","26971",
"01","강력범죄","BB3","단독범","BB1[14STD04548]","범죄자[명]","명","20482","15352","18089","18834","22804","24415","26344","20361","20451","18759",
"01","강력범죄","BB2","공범관계","BB1[14STD04548]","범죄자[명]","명","","3864","3261","2635","2082","2051","1859","1862","2006","1761",
"01","강력범죄","BB201","학교동창","BB1[14STD04548]","범죄자[명]","명","716","660","655","465","353","346","278","289","324","235",
"01","강력범죄","BB202","교도소.소년원동료","BB1[14STD04548]","범죄자[명]","명","75","70","49","35","31","32","13","15","23","21",
"01","강력범죄","BB203","직장동료","BB1[14STD04548]","범죄자[명]","명","313","213","224","188","158","135","183","137","145","123",
"01","강력범죄","BB204","친인척","BB1[14STD04548]","범죄자[명]","명","135","117","90","99","65","52","68","56","49","57",
"01","강력범죄","BB205","군동료","BB1[14STD04548]","범죄자[명]","명","13","7","11","9","15","7","6","7","1","6",
"01","강력범죄","BB206","동네친구","BB1[14STD04548]","범죄자[명]","명","1629","1234","1025","843","743","726","670","566","718","657",
"01","강력범죄","BB207","고향친구","BB1[14STD04548]","범죄자[명]","명","189","178","165","112","96","103","100","83","101","43",
"01","강력범죄","BB208","애인","BB1[14STD04548]","범죄자[명]","명","102","61","90","47","46","50","74","53","53","63",
"01","강력범죄","BB209","기타","BB1[14STD04548]","범죄자[명]","명","1692","1324","952","837","575","600","467","656","592","556",
"01","강력범죄","BB4","미상","BB1[14STD04548]","범죄자[명]","명","","4573","4001","3596","935","605","724","6079","6486","6451",
"0101","살인기수","BB1","계","BB1[14STD04548]","범죄자[명]","명","449","446","377","447","389","379","344","350","345","341",
"0101","살인기수","BB3","단독범","BB1[14STD04548]","범죄자[명]","명","384","311","260","285","320","307","269","221","195","214",
"0101","살인기수","BB2","공범관계","BB1[14STD04548]","범죄자[명]","명","","60","49","60","36","53","46","52","57","36",
"0101","살인기수","BB201","학교동창","BB1[14STD04548]","범죄자[명]","명","4","3","2","","1","1","3","-","4","2",
"0101","살인기수","BB202","교도소.소년원동료","BB1[14STD04548]","범죄자[명]","명","","2","","","","1","-","-","2","-",
"0101","살인기수","BB203","직장동료","BB1[14STD04548]","범죄자[명]","명","3","4","3","2","9","2","1","8","-","-",
"0101","살인기수","BB204","친인척","BB1[14STD04548]","범죄자[명]","명","6","8","10","16","7","10","12","11","9","10",
"0101","살인기수","BB205","군동료","BB1[14STD04548]","범죄자[명]","명","","","","","","","-","1","-","-",
"0101","살인기수","BB206","동네친구","BB1[14STD04548]","범죄자[명]","명","8","2","1","12","","6","7","1","7","3",
"0101","살인기수","BB207","고향친구","BB1[14STD04548]","범죄자[명]","명","","5","1","1","2","","-","-","4","-",
"0101","살인기수","BB208","애인","BB1[14STD04548]","범죄자[명]","명","10","6","10","4","5","4","7","3","7","7",
"0101","살인기수","BB209","기타","BB1[14STD04548]","범죄자[명]","명","34","30","22","25","12","29","16","28","24","14",
"0101","살인기수","BB4","미상","BB1[14STD04548]","범죄자[명]","명","","75","68","102","33","19","29","77","93","91",
"0102","살인미수등","BB1","계","BB1[14STD04548]","범죄자[명]","명","836","610","620","575","586","616","561","516","525","454",
"0102","살인미수등","BB3","단독범","BB1[14STD04548]","범죄자[명]","명","765","501","506","462","518","554","496","405","406","334",
"0102","살인미수등","BB2","공범관계","BB1[14STD04548]","범죄자[명]","명","","62","62","43","32","40","44","48","35","37",
"0102","살인미수등","BB201","학교동창","BB1[14STD04548]","범죄자[명]","명","2","","1","","2","1","-","2","-","2",
