"죄종별","교육정도별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"계","계","범죄자[명]","명","1815233","1723815","1741302","1712435","1771390","1847605","1685461","1581922","1585638","1494421",
"계","불취학","범죄자[명]","명","8083","8641","9106","9120","9800","10320","9376","8925","9211","8325",
"계","재중","범죄자[명]","명","194","185","46","112","118","123","135","122","89","127",
"계","중퇴","범죄자[명]","명","10411","10940","11386","11448","12507","13177","12324","11742","12212","11168",
"계","졸업","범죄자[명]","명","55766","57082","58836","57543","60419","61082","55328","50343","50169","45983",
"계","재중","범죄자[명]","명","19173","24597","17159","14619","13710","12635","12822","12731","13318","13946",
"계","중퇴","범죄자[명]","명","25608","27043","26942","24531","24732","24353","21415","19196","18983","16556",
"계","졸업","범죄자[명]","명","84657","85140","90935","90372","93220","96395","87256","82091","81559","73969",
"계","재중","범죄자[명]","명","35941","46789","34758","30206","31706","31851","30690","24571","23559","25269",
"계","중퇴","범죄자[명]","명","49023","48179","47460","43879","46511","46938","42488","40518","41361","37056",
"계","졸업","범죄자[명]","명","578850","532009","517431","506448","507205","538435","485201","435141","432926","401429",
"계","재중","범죄자[명]","명","6082","5613","4804","4350","4232","4146","3633","4103","4115","3676",
"계","중퇴","범죄자[명]","명","5850","5885","6520","6295","6482","6796","6117","6569","6736","6175",
"계","졸업","범죄자[명]","명","54073","56944","64842","63887","65277","70288","65214","62092","61476","54972",
"계","재중","범죄자[명]","명","29591","32504","29649","28394","29609","29281","26361","22829","22019","21184",
"계","중퇴","범죄자[명]","명","20776","23339","27635","28241","30752","35188","33610","32013","32599","30153",
"계","졸업","범죄자[명]","명","142532","150959","168540","167032","171713","189290","173552","159788","155033","143996",
"계","대학원","범죄자[명]","명","23719","","","","","","","","","",
"계","재중","범죄자[명]","명","","4399","4322","4121","4511","4653","4151","2841","2781","2774",
"계","중퇴","범죄자[명]","명","","1923","2049","2083","2275","2565","2458","1494","1769","1636",
"계","졸업","범죄자[명]","명","","18665","19676","20130","20903","22777","22078","18324","18985","18018",
"계","기타","범죄자[명]","명","63918","44582","27610","27291","25013","22971","18364","14724","15128","15988",
"계","미상","범죄자[명]","명","600986","538397","571596","572333","610695","624341","572888","571765","581610","562021",
"강력범죄","계","범죄자[명]","명","25346","23789","25351","25065","25821","27071","28927","28302","28943","26971",
"강력범죄","불취학","범죄자[명]","명","152","170","221","184","234","214","178","187","172","166",
"강력범죄","재중","범죄자[명]","명","10","12","3","2","4","5","4","4","2","4",
"강력범죄","중퇴","범죄자[명]","명","295","306","339","368","386","352","347","352","325","280",
"강력범죄","졸업","범죄자[명]","명","968","998","1164","1169","1146","1116","1194","1021","972","885",
"강력범죄","재중","범죄자[명]","명","483","620","545","480","441","463","413","444","454","419",
"강력범죄","중퇴","범죄자[명]","명","838","727","764","638","595","572","566","513","449","385",
"강력범죄","졸업","범죄자[명]","명","1518","1373","1583","1570","1546","1495","1523","1492","1434","1317",
"강력범죄","재중","범죄자[명]","명","1329","1549","1255","1123","944","1090","1040","921","921","768",
"강력범죄","중퇴","범죄자[명]","명","1529","1316","1285","1122","1122","1053","1001","945","1009","802",
"강력범죄","졸업","범죄자[명]","명","6723","6149","6781","6977","7005","7271","7555","7121","7305","6922",
"강력범죄","재중","범죄자[명]","명","171","147","183","174","166","133","134","179","175","145",
"강력범죄","중퇴","범죄자[명]","명","172","148","182","180","183","193","206","178","201","174",
"강력범죄","졸업","범죄자[명]","명","790","807","1001","1077","1143","1208","1339","1339","1369","1249",
"강력범죄","재중","범죄자[명]","명","735","922","971","1051","1066","1076","1193","1179","1139","962",
"강력범죄","중퇴","범죄자[명]","명","378","438","574","576","634","658","764","750","829","756",
"강력범죄","졸업","범죄자[명]","명","2005","2022","2609","2890","3162","3507","3899","3686","3785","3561",
"강력범죄","대학원","범죄자[명]","명","484","","","","","","","","","",
"강력범죄","재중","범죄자[명]","명","","125","166","150","180","203","168","146","137","140",
"강력범죄","중퇴","범죄자[명]","명","","38","46","56","67","61","73","49","48","37",
"강력범죄","졸업","범죄자[명]","명","","298","390","476","593","614","687","611","648","539",
"강력범죄","기타","범죄자[명]","명","880","514","381","356","368","423","453","279","277","235",
"강력범죄","미상","범죄자[명]","명","5886","5110","4908","4446","4836","5364","6190","6906","7292","7225",
"살인기수","계","범죄자[명]","명","449","446","377","447","389","379","344","350","345","341",
"살인기수","불취학","범죄자[명]","명","4","5","9","6","6","8","7","7","5","6",
"살인기수","재중","범죄자[명]","명","","","","","","","-","-","-","-",
"살인기수","중퇴","범죄자[명]","명","7","14","11","12","8","4","7","5","3","8",
"살인기수","졸업","범죄자[명]","명","37","36","36","32","34","25","26","19","18","17",
"살인기수","재중","범죄자[명]","명","1","1","","2","","1","-","-","1","-",
"살인기수","중퇴","범죄자[명]","명","19","12","11","15","12","12","18","16","11","17",
"살인기수","졸업","범죄자[명]","명","38","33","27","29","32","36","30","28","26","28",
"살인기수","재중","범죄자[명]","명","5","5","2","5","5","","8","2","3","1",
"살인기수","중퇴","범죄자[명]","명","21","32","17","19","28","18","18","14","20","19",
"살인기수","졸업","범죄자[명]","명","134","143","110","127","111","124","86","92","94","77",
"살인기수","재중","범죄자[명]","명","1","2","","","2","","1","1","3","1",
"살인기수","중퇴","범죄자[명]","명","4","4","5","1","2","3","2","5","4","3",
"살인기수","졸업","범죄자[명]","명","15","13","15","20","11","16","11","14","6","13",
"살인기수","재중","범죄자[명]","명","5","7","5","4","3","1","4","-","3","5",
"살인기수","중퇴","범죄자[명]","명","7","6","7","11","7","9","6","13","9","5",
"살인기수","졸업","범죄자[명]","명","17","24","23","27","16","30","24","29","27","29",
"살인기수","대학원","범죄자[명]","명","8","","","","","","","","","",
"살인기수","재중","범죄자[명]","명","","","1","2","1","","-","1","-","1",
"살인기수","중퇴","범죄자[명]","명","","","1","","","","1","-","-","-",
"살인기수","졸업","범죄자[명]","명","","4","4","2","4","1","4","5","1","6",
"살인기수","기타","범죄자[명]","명","18","12","5","1","4","3","4","8","2","3",
"살인기수","미상","범죄자[명]","명","108","93","88","132","103","88","87","91","109","102",
"살인미수등","계","범죄자[명]","명","836","610","620","575","586","616","561","516","525","454",
"살인미수등","불취학","범죄자[명]","명","13","9","15","10","8","10","7","9","10","13",
"살인미수등","재중","범죄자[명]","명","","","","","","","-","-","-","-",
"살인미수등","중퇴","범죄자[명]","명","23","19","27","23","27","15","22","16","13","10",
"살인미수등","졸업","범죄자[명]","명","64","38","55","48","59","57","48","38","53","30",
"살인미수등","재중","범죄자[명]","명","","","5","","3","1","1","-","3","2",
"살인미수등","중퇴","범죄자[명]","명","39","35","29","32","25","33","24","15","20","17",
