"죄종별","마약류상용여부별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"계","계","범죄자[명]","명","1815233","1723815","1741302","1712435","1771390","1847605","1685461","1581922","1585638","1494421",
"계","마약류","범죄자[명]","명","3505","3427","3489","3519","1016","863","883","4282","5591","5806",
"계","마약","범죄자[명]","명","394","372","373","423","129","113","119","367","441","523",
"계","대마","범죄자[명]","명","576","509","472","496","147","98","109","621","1045","1181",
"계","향정신성의약품","범죄자[명]","명","2535","2546","2644","2600","740","652","655","3294","4105","4102",
"계","본드·신나등","범죄자[명]","명","1324","1187","642","324","212","214","202","226","344","146",
"계","알코올","범죄자[명]","명","161872","156632","164003","151989","137191","127332","121921","118453","102921","99016",
"계","해당무","범죄자[명]","명","1648532","1093785","1080416","1062315","1097081","1166199","1048831","938526","943897","878535",
"계","미상","범죄자[명]","명","","468784","492752","494288","535890","552997","513624","520435","532885","510918",
"강력범죄","계","범죄자[명]","명","25346","23789","25351","25065","25821","27071","28927","28302","28943","26971",
"강력범죄","마약류","범죄자[명]","명","30","34","40","41","26","15","17","43","46","49",
"강력범죄","마약","범죄자[명]","명","3","8","6","6","9","2","-","7","3","15",
"강력범죄","대마","범죄자[명]","명","6","4","5","6","1","1","-","4","6","1",
"강력범죄","향정신성의약품","범죄자[명]","명","21","22","29","29","16","12","17","32","37","33",
"강력범죄","본드·신나등","범죄자[명]","명","22","30","10","6","4","6","2","1","3","4",
"강력범죄","알코올","범죄자[명]","명","2164","2066","2347","2238","2114","2207","2397","2677","2859","2823",
"강력범죄","해당무","범죄자[명]","명","23130","17113","18963","19184","19678","20277","21130","19497","19556","17634",
"강력범죄","미상","범죄자[명]","명","","4546","3991","3596","3999","4566","5381","6084","6479","6461",
"살인기수","계","범죄자[명]","명","449","446","377","447","389","379","344","350","345","341",
"살인기수","마약류","범죄자[명]","명","2","1","3","2","","1","-","1","4","3",
"살인기수","마약","범죄자[명]","명","1","","","","","1","-","1","-","2",
"살인기수","대마","범죄자[명]","명","1","","","","","","-","-","-","-",
"살인기수","향정신성의약품","범죄자[명]","명","","1","3","2","","","-","-","4","1",
"살인기수","본드·신나등","범죄자[명]","명","","2","","2","","1","-","-","1","1",
"살인기수","알코올","범죄자[명]","명","37","46","35","32","22","21","25","22","26","16",
"살인기수","해당무","범죄자[명]","명","410","322","270","309","289","288","243","250","220","230",
"살인기수","미상","범죄자[명]","명","","75","69","102","78","68","76","77","94","91",
"살인미수등","계","범죄자[명]","명","836","610","620","575","586","616","561","516","525","454",
"살인미수등","마약류","범죄자[명]","명","2","3","3","5","","","1","2","1","2",
"살인미수등","마약","범죄자[명]","명","1","2","","2","","","-","-","-","1",
"살인미수등","대마","범죄자[명]","명","","","","","","","-","1","-","-",
"살인미수등","향정신성의약품","범죄자[명]","명","1","1","3","3","","","1","1","1","1",
"살인미수등","본드·신나등","범죄자[명]","명","2","1","","1","","2","1","-","-","-",
"살인미수등","알코올","범죄자[명]","명","121","76","77","70","68","53","53","67","47","44",
"살인미수등","해당무","범죄자[명]","명","711","479","488","429","456","495","447","385","394","326",
"살인미수등","미상","범죄자[명]","명","","51","52","70","62","66","59","62","83","82",
"강도","계","범죄자[명]","명","4890","3322","2593","2078","1999","1716","1456","1165","1336","1202",
"강도","마약류","범죄자[명]","명","12","15","10","13","6","2","2","7","7","8",
