"죄종별","범행동기별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"계","계","범죄자[명]","명","1815233","1723815","1741302","1712435","1771390","1847605","1685461","1581922","1585638","1494421",
"계","이욕","범죄자[명]","명","157196","140413","134375","125751","139683","149315","144996","135729","144146","137185",
"계","생활비","범죄자[명]","명","64436","53327","57347","52924","52670","54086","52684","50522","52017","49856",
"계","유흥비","범죄자[명]","명","10168","11215","10952","7421","6921","6134","5195","3915","3628","3755",
"계","도박비","범죄자[명]","명","1634","1156","1202","1295","1649","1998","2008","1883","2115","2172",
"계","허영사치심","범죄자[명]","명","997","1032","858","588","550","517","528","365","354","318",
"계","치부","범죄자[명]","명","2623","2320","1531","1216","942","862","950","1053","670","438",
"계","기타","범죄자[명]","명","77338","71363","62485","62307","76951","85718","83631","77991","85362","80646",
"계","사행심","범죄자[명]","명","26902","22190","20705","19462","18322","20396","16361","17034","18666","16916",
"계","보복","범죄자[명]","명","345","336","339","347","371","496","349","297","305","324",
"계","가정불화","범죄자[명]","명","5753","6069","7255","6977","19857","25730","22481","20314","22845","20135",
"계","호기심","범죄자[명]","명","19546","16230","17336","16053","16177","21623","17666","9384","10375","13367",
"계","유혹","범죄자[명]","명","11435","10869","10178","8564","8591","9675","8813","6805","6300","5840",
"계","우발적","범죄자[명]","명","292494","283428","274132","259987","256669","255616","246704","261774","270465","257580",
"계","현실불만","범죄자[명]","명","10262","10598","9804","9233","8460","8878","7720","5984","5958","5463",
"계","부주의","범죄자[명]","명","239372","231967","238301","237471","238191","244196","222748","196869","188815","168145",
"계","기타","범죄자[명]","명","518743","530004","533873","532573","527308","556882","482527","386117","363138","347240",
"계","미상","범죄자[명]","명","533185","471711","495004","496017","537761","554798","515096","541615","554625","522226",
"강력범죄","계","범죄자[명]","명","25346","23789","25351","25065","25821","27071","28927","28302","28943","26971",
"강력범죄","이욕","범죄자[명]","명","3238","2632","2250","1694","1680","1470","1254","1160","1390","1165",
"강력범죄","생활비","범죄자[명]","명","824","700","587","513","429","323","254","242","249","177",
"강력범죄","유흥비","범죄자[명]","명","678","464","378","254","225","179","90","67","122","91",
"강력범죄","도박비","범죄자[명]","명","58","28","32","12","22","21","15","13","11","8",
"강력범죄","허영사치심","범죄자[명]","명","11","12","12","4","15","10","2","-","1","-",
"강력범죄","치부","범죄자[명]","명","56","48","36","13","35","17","11","10","15","12",
"강력범죄","기타","범죄자[명]","명","1611","1380","1205","898","954","920","882","828","992","877",
"강력범죄","사행심","범죄자[명]","명","145","77","87","55","54","47","43","63","88","107",
"강력범죄","보복","범죄자[명]","명","11","6","27","20","9","19","19","15","24","20",
"강력범죄","가정불화","범죄자[명]","명","291","237","245","236","282","271","252","210","206","192",
"강력범죄","호기심","범죄자[명]","명","1266","1104","1494","1738","1660","1677","1645","1021","1117","928",
"강력범죄","유혹","범죄자[명]","명","930","1012","1120","905","779","840","811","762","735","649",
"강력범죄","우발적","범죄자[명]","명","7708","7459","8571","7964","8019","8343","9374","10224","9801","9228",
"강력범죄","현실불만","범죄자[명]","명","350","278","282","298","281","301","262","219","174","158",
"강력범죄","부주의","범죄자[명]","명","380","321","418","509","533","685","740","631","738","631",
"강력범죄","기타","범죄자[명]","명","5779","6063","6810","8015","8495","8794","9092","7504","7812","7199",
"강력범죄","미상","범죄자[명]","명","5248","4600","4047","3631","4029","4624","5435","6493","6858","6694",
"살인기수","계","범죄자[명]","명","449","446","377","447","389","379","344","350","345","341",
"살인기수","이욕","범죄자[명]","명","42","36","24","18","16","15","14","6","6","5",
"살인기수","생활비","범죄자[명]","명","5","1","3","1","","1","4","1","1","2",
"살인기수","유흥비","범죄자[명]","명","2","6","","1","","","-","1","-","-",
"살인기수","도박비","범죄자[명]","명","3","","","","1","","1","-","-","-",
"살인기수","허영사치심","범죄자[명]","명","","2","","","","","-","-","-","-",
"살인기수","치부","범죄자[명]","명","4","5","2","2","5","3","1","1","2","2",
"살인기수","기타","범죄자[명]","명","28","22","19","14","10","11","8","3","3","1",
"살인기수","사행심","범죄자[명]","명","","","","","","1","-","-","1","1",
"살인기수","보복","범죄자[명]","명","1","","5","2","","1","-","2","6","6",
"살인기수","가정불화","범죄자[명]","명","59","51","37","37","32","41","35","33","24","23",
"살인기수","호기심","범죄자[명]","명","","","","","","","-","-","-","-",
"살인기수","유혹","범죄자[명]","명","1","","","2","1","","-","1","-","3",
"살인기수","우발적","범죄자[명]","명","150","147","140","133","123","120","117","115","101","116",
"살인기수","현실불만","범죄자[명]","명","18","15","10","16","16","18","13","21","22","11",
"살인기수","부주의","범죄자[명]","명","3","2","1","3","2","4","4","-","2","3",
"살인기수","기타","범죄자[명]","명","96","118","92","134","120","110","83","94","89","82",
"살인기수","미상","범죄자[명]","명","79","77","68","102","79","69","78","78","94","91",
"살인미수등","계","범죄자[명]","명","836","610","620","575","586","616","561","516","525","454",
