"죄종별","연령별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"계","계","범죄자[명]","명","1815233","1723815","1741302","1712435","1771390","1847605","1685461","1581922","1585638","1494421",
"계","미성년","범죄자[명]","명","86616","104532","88549","77280","79342","75757","72425","65784","65907","64152",
"계","14세미만","범죄자[명]","명","316","654","281","54","80","78","88","","","",
"계","14세","범죄자[명]","명","5454","12751","11158","9673","8521","7524","7691","8314","9028","9109",
"계","15세","범죄자[명]","명","17834","20645","16311","14010","14358","13752","12364","11563","11681","11924",
"계","16세","범죄자[명]","명","22791","25490","19926","16885","17584","17551","16308","13273","13503","13517",
"계","17세","범죄자[명]","명","20774","23454","20400","17447","18171","17552","17255","15348","14249","13653",
"계","18세","범죄자[명]","명","19447","21538","20473","19211","20628","19300","18719","17286","17446","15949",
"계","성년","범죄자[명]","명","1728590","1618724","1651378","1633101","1689960","1768887","1611388","1513619","1516477","1425704",
"계","19세","범죄자[명]","명","20441","19924","19835","20534","23945","22849","20720","19261","20259","19683",
"계","20세","범죄자[명]","명","16214","15877","16056","15710","19161","20590","19202","17814","18026","19208",
"계","21~25세","범죄자[명]","명","107114","107903","116405","113422","126957","138071","132024","121050","118801","113482",
"계","26~30세","범죄자[명]","명","190553","169358","167984","149979","149606","154947","140560","129466","131970","125947",
"계","31~35세","범죄자[명]","명","191804","177256","186107","180894","181726","186937","156474","133036","123442","110634",
"계","36~40세","범죄자[명]","명","215190","190062","188086","175951","173733","186020","167953","157168","156540","142209",
"계","41~45세","범죄자[명]","명","252987","232617","232003","224227","218020","217607","185225","164345","155689","139964",
"계","46~50세","범죄자[명]","명","260745","236111","233067","226968","233219","237797","212580","197856","192774","173001",
"계","51~55세","범죄자[명]","명","223253","218323","222444","226513","229356","231562","203101","189415","184847","176698",
"계","56~60세","범죄자[명]","명","125455","126281","134885","148001","163633","179230","176638","175113","180686","168218",
"계","61~65세","범죄자[명]","명","65158","64138","68546","75269","83771","95834","99201","105100","116263","117834",
"계","66~70세","범죄자[명]","명","34635","34394","36222","40378","45367","50996","50962","53132","58659","59119",
"계","71세이상","범죄자[명]","명","25041","26480","29738","35255","41466","46447","46748","50863","58521","59707",
"계","미상","범죄자[명]","명","27","559","1375","2054","2088","2961","1648","2519","3254","4565",
"강력범죄","계","범죄자[명]","명","25346","23789","25351","25065","25821","27071","28927","28302","28943","26971",
"강력범죄","미성년","범죄자[명]","명","3209","3231","3052","2610","2377","2410","2311","2267","2358","1898",
"강력범죄","14세미만","범죄자[명]","명","5","27","19","","3","3","1","","","",
"강력범죄","14세","범죄자[명]","명","136","327","334","330","265","295","258","303","305","245",
"강력범죄","15세","범죄자[명]","명","502","487","497","466","462","451","401","403","431","385",
"강력범죄","16세","범죄자[명]","명","852","743","653","541","501","577","521","452","463","359",
"강력범죄","17세","범죄자[명]","명","871","866","799","601","554","545","531","502","525","388",
"강력범죄","18세","범죄자[명]","명","843","781","750","672","592","539","599","607","634","521",
"강력범죄","성년","범죄자[명]","명","22137","20553","22277","22419","23421","24628","26606","26005","26550","25046",
"강력범죄","19세","범죄자[명]","명","776","662","640","631","582","581","600","588","693","515",
"강력범죄","20세","범죄자[명]","명","497","484","442","464","428","470","494","476","509","484",
"강력범죄","21~25세","범죄자[명]","명","2292","2245","2498","2627","2805","2932","3424","3444","3339","3101",
"강력범죄","26~30세","범죄자[명]","명","3027","2829","2734","2471","2453","2634","2955","2885","3150","3077",
"강력범죄","31~35세","범죄자[명]","명","2741","2545","2722","2601","2790","2731","2807","2483","2529","2381",
"강력범죄","36~40세","범죄자[명]","명","2713","2403","2472","2336","2396","2530","2749","2623","2720","2596",
"강력범죄","41~45세","범죄자[명]","명","2892","2680","2843","2883","2778","2720","2749","2566","2376","2262",
"강력범죄","46~50세","범죄자[명]","명","2723","2283","2542","2609","2760","2910","2970","2948","2842","2553",
"강력범죄","51~55세","범죄자[명]","명","2080","2024","2267","2362","2508","2624","2684","2655","2651","2565",
"강력범죄","56~60세","범죄자[명]","명","1075","1121","1420","1566","1751","1986","2277","2366","2381","2186",
"강력범죄","61~65세","범죄자[명]","명","659","555","764","798","962","1091","1294","1353","1452","1586",
"강력범죄","66~70세","범죄자[명]","명","367","364","466","520","554","619","772","737","876","816",
"강력범죄","71세이상","범죄자[명]","명","295","358","467","551","654","800","831","881","1032","924",
"강력범죄","미상","범죄자[명]","명","","5","22","36","23","33","10","30","35","27",
"살인기수","계","범죄자[명]","명","449","446","377","447","389","379","344","350","345","341",
"살인기수","미성년","범죄자[명]","명","7","12","6","18","7","4","10","5","9","2",
"살인기수","14세미만","범죄자[명]","명","","","","","","","-","","","",
"살인기수","14세","범죄자[명]","명","","1","","1","","1","-","-","-","-",
"살인기수","15세","범죄자[명]","명","","2","","6","1","1","-","-","-","1",
"살인기수","16세","범죄자[명]","명","2","2","","5","1","","-","3","3","1",
"살인기수","17세","범죄자[명]","명","2","3","4","2","4","","8","-","1","-",
"살인기수","18세","범죄자[명]","명","3","4","2","4","1","2","2","2","5","-",
"살인기수","성년","범죄자[명]","명","442","434","369","429","382","375","334","345","335","339",
"살인기수","19세","범죄자[명]","명","2","4","3","7","3","2","7","3","6","3",
"살인기수","20세","범죄자[명]","명","3","1","3","5","2","5","3","5","-","3",
"살인기수","21~25세","범죄자[명]","명","21","36","22","31","23","25","21","21","22","23",
