"<통계표 메타자료>"
"○ 통계표ID","DT_13204_4101"
"○ 통계표명","범죄자 범행시 연령"
"○ 수록기간","년 2011 ~ 2020"
"○ 출처","KOSIS(경찰청, 경찰청범죄통계), 2021.09.10 14:18"
"○ 문의처","경찰청 02-3150-1632"
"○ 주석 정보"
"통계표 >"," 피의자통계원표"
""," 2012년부터 범죄통계 정확성을 제고하기 위하여 기소중지자를 제외함"
"연령별 > 미성년"," 소년범죄자 처리규정 상 촉법소년의 경우에는 검찰에 송치하지 않고, 법원 소년부에 송치하도록 되어 있어 피의자원표를 작성하지 않는 사례가 있으므로 전체 소년범죄자라 할 수 없음"
"죄종별 > 강간·강제추행"," ‘강간·강제추행’은 2013년부터 ‘강간’,‘유사강간’,‘강제추행’,‘기타 강간·강제추행등’으로 세분화함"
"죄종별 > 기타 강간·강제추행등"," '기타 강간·강제추행등'이란 현재 시스템상 강간인지 강제추행인지 구분할수 없는 죄명들을 별도로 분류한 것임"
"죄종별 > 성풍속범죄"," 아동청소년의 성보호의 관한 법률(음란물소지)을 2015 범죄통계부터 성풍속범죄로 재분류하여 시계열 분석에 차이가 있을 수 있음"

"○ 분류/항목 정보",
"분류코드","분류/항목명","분류값","분류값명","단위","가중치"
"AA","죄종별","00","계","",""
"AA","죄종별","01","강력범죄","",""
"AA","죄종별","0101","살인기수","",""
"AA","죄종별","0102","살인미수등","",""
"AA","죄종별","0103","강도","",""
"AA","죄종별","0104","강간·강제추행","",""
"AA","죄종별","0106","강간","",""
"AA","죄종별","0107","유사강간","",""
"AA","죄종별","0108","강제추행","",""
"AA","죄종별","0109","기타 강간·강제추행등","",""
"AA","죄종별","0105","방화","",""
"AA","죄종별","02","절도범죄","",""
"AA","죄종별","03","폭력범죄","",""
"AA","죄종별","0301","상해","",""
"AA","죄종별","0302","폭행","",""
"AA","죄종별","0303","체포·감금","",""
"AA","죄종별","0304","협박","",""
"AA","죄종별","0305","약취·유인","",""
"AA","죄종별","0306","폭력행위등","",""
"AA","죄종별","0307","공갈","",""
"AA","죄종별","0308","손괴","",""
"AA","죄종별","04","지능범죄","",""
"AA","죄종별","0401","직무유기","",""
"AA","죄종별","0402","직권남용","",""
"AA","죄종별","0403","증수뢰","",""
"AA","죄종별","0404","통화","",""
"AA","죄종별","0405","문서·인장","",""
"AA","죄종별","0406","유가증권인지","",""
"AA","죄종별","0407","사기","",""
"AA","죄종별","0408","횡령","",""
"AA","죄종별","0409","배임","",""
"AA","죄종별","05","풍속범죄","",""
"AA","죄종별","0501","성풍속범죄","",""
"AA","죄종별","0502","도박범죄","",""
"AA","죄종별","06","특별경제범죄","",""
"AA","죄종별","07","마약범죄","",""
"AA","죄종별","08","보건범죄","",""
"AA","죄종별","09","환경범죄","",""
"AA","죄종별","10","교통범죄","",""
"AA","죄종별","11","노동범죄","",""
"AA","죄종별","12","안보범죄","",""
"AA","죄종별","13","선거범죄","",""
"AA","죄종별","14","병역범죄","",""
"AA","죄종별","15","기타범죄","",""
"BB","연령별","B1","계","",""
"BB","연령별","B2","미성년","",""
"BB","연령별","B201","14세미만","",""
"BB","연령별","B202","14세","",""
"BB","연령별","B203","15세","",""
"BB","연령별","B204","16세","",""
"BB","연령별","B205","17세","",""
"BB","연령별","B206","18세","",""
"BB","연령별","B3","성년","",""
"BB","연령별","B301","19세","",""
"BB","연령별","B302","20세","",""
"BB","연령별","B303","21~25세","",""
"BB","연령별","B304","26~30세","",""
"BB","연령별","B305","31~35세","",""
"BB","연령별","B306","36~40세","",""
"BB","연령별","B307","41~45세","",""
"BB","연령별","B308","46~50세","",""
"BB","연령별","B309","51~55세","",""
"BB","연령별","B310","56~60세","",""
"BB","연령별","B311","61~65세","",""
"BB","연령별","B312","66~70세","",""
"BB","연령별","B313","71세이상","",""
"BB","연령별","B4","미상","",""
"13999001","항목","BB1","범죄자","명",""
