"죄종별","생활정도별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"계","생활정도","범죄자[명]","명","1815233","1723815","1741302","1712435","1771390","1847605","1685461","1581922","1585638","1494421",
"계","하류","범죄자[명]","명","814842","798734","798697","776142","779282","804953","720838","641383","630324","577349",
"계","중류","범죄자[명]","명","455936","442797","436154","427642","440061","472928","436068","405516","408339","392570",
"계","상류","범죄자[명]","명","12730","12357","12536","13242","14697","15319","13756","13983","13040","12521",
"계","미상","범죄자[명]","명","531725","469927","493915","495409","537350","554405","514799","521040","533935","511981",
"계","혼인 및 미혼자부모관계","범죄자[명]","명","1815233","1723815","1741302","1712435","1771390","1847605","1685461","1581922","1585638","1494421",
"계","혼인관계","범죄자[명]","명","827227","791011","790034","779350","779322","811555","725304","649182","638487","585687",
"계","유배우자","범죄자[명]","명","688789","654396","644343","626581","614209","631935","559366","492665","476861","431563",
"계","동거","범죄자[명]","명","19569","17693","19412","20488","24493","25751","22702","19514","20048","18381",
"계","이혼","범죄자[명]","명","99295","99764","105917","111446","118433","130071","120430","115235","117982","113396",
"계","사별","범죄자[명]","명","19574","19158","20362","20835","22187","23798","22806","21768","23596","22347",
"계","미혼자 부모관계","범죄자[명]","명","452511","462196","455985","436176","453119","480304","442601","411397","413216","396536",
"계","실(양)부모","범죄자[명]","명","344322","351959","339473","321755","332514","352827","324775","301790","302498","290666",
"계","계부모","범죄자[명]","명","2383","1919","2104","2200","1851","1882","1622","1567","1556","1683",
"계","실부계모","범죄자[명]","명","2643","2584","2695","2490","2597","2592","2399","2048","1842","1768",
"계","실부무모","범죄자[명]","명","20601","21383","22522","21926","22495","23859","21815","19816","20017","19088",
"계","실모계부","범죄자[명]","명","2413","2350","2444","2216","2372","2369","2229","2079","1952","1810",
"계","실모무부","범죄자[명]","명","47686","49324","52407","51310","54452","57960","53876","48622","48782","45361",
"계","계부무모","범죄자[명]","명","498","456","567","459","405","442","365","315","318","276",
"계","계모무부","범죄자[명]","명","1103","949","938","1002","877","867","681","599","685","583",
"계","무부모","범죄자[명]","명","30862","31272","32835","32818","35556","37506","34839","34561","35566","35301",
"계","미상","범죄자[명]","명","535495","470608","495283","496909","538949","555746","517556","521343","533935","512198",
"강력범죄","생활정도","범죄자[명]","명","25346","23789","25351","25065","25821","27071","28927","28302","28943","26971",
"강력범죄","하류","범죄자[명]","명","13678","13070","13743","13259","12778","12842","12656","11737","11468","10059",
"강력범죄","중류","범죄자[명]","명","6221","5951","7312","7878","8671","9239","10441","10027","10557","10033",
"강력범죄","상류","범죄자[명]","명","247","216","297","329","367","407","430","476","438","404",
"강력범죄","미상","범죄자[명]","명","5200","4552","3999","3599","4005","4583","5400","6062","6480","6475",
"강력범죄","혼인 및 미혼자부모관계","범죄자[명]","명","25346","23789","25351","25065","25821","27071","28927","28302","28943","26971",
"강력범죄","혼인관계","범죄자[명]","명","8779","8250","9686","10093","10453","10729","11066","10419","10272","9385",
"강력범죄","유배우자","범죄자[명]","명","6077","5708","6728","6994","7324","7633","7820","7324","7123","6396",
"강력범죄","동거","범죄자[명]","명","475","393","431","498","504","457","497","417","382","367",
"강력범죄","이혼","범죄자[명]","명","1975","1893","2219","2280","2267","2284","2389","2321","2421","2347",
"강력범죄","사별","범죄자[명]","명","252","256","308","321","358","355","360","357","346","275",
"강력범죄","미혼자 부모관계","범죄자[명]","명","11301","11024","11636","11359","11334","11738","12415","11816","12189","11111",
"강력범죄","실(양)부모","범죄자[명]","명","7881","7671","8084","7839","7751","8112","8741","8416","8844","8081",
"강력범죄","계부모","범죄자[명]","명","72","47","46","26","33","22","33","24","27","25",
"강력범죄","실부계모","범죄자[명]","명","143","123","122","114","105","108","91","63","67","64",
"강력범죄","실부무모","범죄자[명]","명","608","652","655","634","652","658","617","599","575","535",
"강력범죄","실모계부","범죄자[명]","명","119","97","110","102","96","107","100","78","75","69",
"강력범죄","실모무부","범죄자[명]","명","1420","1452","1549","1620","1586","1609","1660","1493","1501","1340",
"강력범죄","계부무모","범죄자[명]","명","18","9","13","11","9","7","8","6","5","3",
"강력범죄","계모무부","범죄자[명]","명","23","14","21","25","25","19","14","12","13","16",
"강력범죄","무부모","범죄자[명]","명","1017","959","1036","988","1077","1096","1151","1125","1082","978",
"강력범죄","미상","범죄자[명]","명","5266","4515","4029","3613","4034","4604","5446","6067","6482","6475",
"살인기수","생활정도","범죄자[명]","명","449","446","377","447","389","379","344","350","345","341",
"살인기수","하류","범죄자[명]","명","292","270","226","250","236","238","210","187","190","172",
"살인기수","중류","범죄자[명]","명","74","95","81","89","69","70","54","80","58","72",
"살인기수","상류","범죄자[명]","명","4","6","2","6","6","3","4","5","4","6",
"살인기수","미상","범죄자[명]","명","79","75","68","102","78","68","76","78","93","91",
"살인기수","혼인 및 미혼자부모관계","범죄자[명]","명","449","446","377","446","389","379","344","350","345","341",
"살인기수","혼인관계","범죄자[명]","명","233","242","206","221","211","195","163","164","151","158",
"살인기수","유배우자","범죄자[명]","명","139","153","124","127","122","111","103","93","93","81",
"살인기수","동거","범죄자[명]","명","19","17","14","12","18","11","16","7","10","7",
"살인기수","이혼","범죄자[명]","명","67","54","54","64","59","62","37","55","43","61",
"살인기수","사별","범죄자[명]","명","8","18","14","18","12","11","7","9","5","9",
"살인기수","미혼자 부모관계","범죄자[명]","명","135","128","103","123","99","115","103","108","101","92",
"살인기수","실(양)부모","범죄자[명]","명","62","65","53","58","45","54","50","60","49","45",
"살인기수","계부모","범죄자[명]","명","2","","","2","","","-","-","-","-",
"살인기수","실부계모","범죄자[명]","명","","3","3","4","1","2","2","2","-","2",
"살인기수","실부무모","범죄자[명]","명","5","11","6","4","11","8","6","9","9","8",
"살인기수","실모계부","범죄자[명]","명","3","","2","","","4","2","-","3","-",
"살인기수","실모무부","범죄자[명]","명","32","24","21","23","18","24","25","25","23","17",
"살인기수","계부무모","범죄자[명]","명","1","","","","","","-","-","-","-",
"살인기수","계모무부","범죄자[명]","명","2","","","","","","-","-","-","-",
"살인기수","무부모","범죄자[명]","명","28","25","18","32","24","23","18","12","17","20",
"살인기수","미상","범죄자[명]","명","81","76","68","102","79","69","78","78","93","91",
"살인미수등","생활정도","범죄자[명]","명","836","610","620","575","586","616","561","516","525","454",
"살인미수등","하류","범죄자[명]","명","582","431","433","401","384","429","381","350","350","276",
"살인미수등","중류","범죄자[명]","명","147","124","133","99","135","114","117","101","89","93",
"살인미수등","상류","범죄자[명]","명","5","4","2","5","5","7","4","3","2","3",
"살인미수등","미상","범죄자[명]","명","102","51","52","70","62","66","59","62","84","82",
"살인미수등","혼인 및 미혼자부모관계","범죄자[명]","명","836","610","620","576","586","616","561","516","525","454",
"살인미수등","혼인관계","범죄자[명]","명","460","370","359","343","337","350","302","287","279","234",
"살인미수등","유배우자","범죄자[명]","명","262","213","179","178","175","194","168","144","146","123",
"살인미수등","동거","범죄자[명]","명","38","21","30","24","27","23","16","29","15","19",
"살인미수등","이혼","범죄자[명]","명","146","126","137","134","115","125","105","97","112","87",
"살인미수등","사별","범죄자[명]","명","14","10","13","7","20","8","13","17","6","5",
"살인미수등","미혼자 부모관계","범죄자[명]","명","273","189","209","165","187","200","199","167","162","138",
"살인미수등","실(양)부모","범죄자[명]","명","133","95","104","74","105","99","106","84","85","82",
"살인미수등","계부모","범죄자[명]","명","2","","1","","","","1","-","1","1",
"살인미수등","실부계모","범죄자[명]","명","4","4","2","","2","4","4","1","-","-",
"살인미수등","실부무모","범죄자[명]","명","19","14","13","11","7","13","8","12","12","10",
"살인미수등","실모계부","범죄자[명]","명","1","3","1","2","1","4","2","2","1","1",
"살인미수등","실모무부","범죄자[명]","명","53","36","39","32","37","46","40","29","29","19",
"살인미수등","계부무모","범죄자[명]","명","","","","","","","-","-","-","-",
"살인미수등","계모무부","범죄자[명]","명","1","","1","","","1","1","-","1","1",
"살인미수등","무부모","범죄자[명]","명","60","37","48","46","35","33","37","39","33","24",
"살인미수등","미상","범죄자[명]","명","103","51","52","68","62","66","60","62","84","82",
"강도","생활정도","범죄자[명]","명","4890","3322","2593","2078","1999","1716","1456","1165","1336","1202",
"강도","하류","범죄자[명]","명","3358","2430","1814","1473","1412","1201","975","827","915","713",
"강도","중류","범죄자[명]","명","996","639","548","417","412","347","335","201","289","327",
"강도","상류","범죄자[명]","명","41","12","9","15","20","9","8","12","7","15",
"강도","미상","범죄자[명]","명","495","241","222","173","155","159","138","125","125","147",
"강도","혼인 및 미혼자부모관계","범죄자[명]","명","4890","3322","2593","2078","1999","1716","1456","1165","1336","1202",
"강도","혼인관계","범죄자[명]","명","1338","798","710","605","542","482","461","320","281","257",
"강도","유배우자","범죄자[명]","명","831","509","473","356","325","263","281","181","159","144",
"강도","동거","범죄자[명]","명","116","58","47","47","38","26","38","11","17","23",
"강도","이혼","범죄자[명]","명","370","219","179","191","166","182","125","121","94","83",
"강도","사별","범죄자[명]","명","21","12","11","11","13","11","17","7","11","7",
"강도","미혼자 부모관계","범죄자[명]","명","3048","2272","1660","1300","1302","1074","856","720","930","798",
"강도","실(양)부모","범죄자[명]","명","2040","1452","1090","837","843","679","576","475","642","615",
"강도","계부모","범죄자[명]","명","28","12","4","5","3","4","3","3","1","2",
"강도","실부계모","범죄자[명]","명","70","44","40","21","19","25","18","4","8","8",
"강도","실부무모","범죄자[명]","명","207","204","135","93","101","88","63","48","53","37",
"강도","실모계부","범죄자[명]","명","45","33","23","20","14","17","12","14","10","8",
"강도","실모무부","범죄자[명]","명","382","308","238","174","186","152","106","88","104","69",
"강도","계부무모","범죄자[명]","명","6","2","4","3","3","","1","2","1","-",
"강도","계모무부","범죄자[명]","명","5","5","1","","5","4","-","-","-","3",
"강도","무부모","범죄자[명]","명","265","212","125","147","128","105","77","86","111","56",
"강도","미상","범죄자[명]","명","504","252","223","173","155","160","139","125","125","147",
"강간·강제추행","생활정도","범죄자[명]","명","17652","18012","","","","","","","","",
"강간·강제추행","하류","범죄자[명]","명","8436","8996","","","","","","","","",
"강간·강제추행","중류","범죄자[명]","명","4672","4749","","","","","","","","",
"강간·강제추행","상류","범죄자[명]","명","185","188","","","","","","","","",
"강간·강제추행","미상","범죄자[명]","명","4359","4079","","","","","","","","",
"강간·강제추행","혼인 및 미혼자부모관계","범죄자[명]","명","17652","18012","","","","","","","","",
"강간·강제추행","혼인관계","범죄자[명]","명","5954","6083","","","","","","","","",
"강간·강제추행","유배우자","범죄자[명]","명","4362","4341","","","","","","","","",
"강간·강제추행","동거","범죄자[명]","명","240","243","","","","","","","","",
"강간·강제추행","이혼","범죄자[명]","명","1164","1309","","","","","","","","",
"강간·강제추행","사별","범죄자[명]","명","188","190","","","","","","","","",
"강간·강제추행","미혼자 부모관계","범죄자[명]","명","7288","7902","","","","","","","","",
"강간·강제추행","실(양)부모","범죄자[명]","명","5320","5720","","","","","","","","",
"강간·강제추행","계부모","범죄자[명]","명","35","35","","","","","","","","",
"강간·강제추행","실부계모","범죄자[명]","명","61","70","","","","","","","","",
"강간·강제추행","실부무모","범죄자[명]","명","344","397","","","","","","","","",
"강간·강제추행","실모계부","범죄자[명]","명","45","58","","","","","","","","",
"강간·강제추행","실모무부","범죄자[명]","명","881","1009","","","","","","","","",
