"죄종별","직업별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"계","계","범죄자[명]","명","1815233","1723815","1741302","1712435","1771390","1847605","1685461","1581922","1585638","1494421",
"계","자영자","범죄자[명]","명","395914","368277","307157","308596","395299","398146","369791","355246","323954","261608",
"계","농.임.수산업","범죄자[명]","명","49666","47455","44563","43716","48716","48243","43298","39372","38711","33209",
"계","광업","범죄자[명]","명","146","149","99","90","137","186","102","104","93","58",
"계","제조업","범죄자[명]","명","11538","9447","6918","6357","8497","8256","7517","6848","6017","4563",
"계","건설업","범죄자[명]","명","30733","27264","30675","30364","36747","40396","38991","35911","32386","26382",
"계","도.소매업","범죄자[명]","명","24068","17835","6168","4603","8590","7464","6648","5328","3624","1820",
"계","무역업","범죄자[명]","명","2479","1957","2086","1910","2046","2040","1832","1617","1459","1421",
"계","요식업","범죄자[명]","명","25390","22443","13618","12742","15225","14746","13609","12467","10896","8404",
"계","숙박업","범죄자[명]","명","3429","3351","2007","1913","2632","2314","1916","2147","2313","1959",
"계","유흥업","범죄자[명]","명","21040","18260","11535","9728","12613","10965","9729","8761","7219","4400",
"계","금융업","범죄자[명]","명","1703","1581","1538","1243","1386","1436","1403","1512","1269","873",
"계","부동산업","범죄자[명]","명","8983","8352","7661","7772","10352","10106","9924","10699","8948","7183",
"계","의료보건업","범죄자[명]","명","1088","1032","495","631","1257","1014","1055","1048","736","341",
"계","차량정비업","범죄자[명]","명","3904","3001","1519","1549","2758","2522","2248","2339","1607","979",
"계","노점","범죄자[명]","명","4622","4197","3407","3565","3977","3557","3015","2582","2188","1489",
"계","행상","범죄자[명]","명","884","640","158","150","250","236","187","179","111","30",
"계","기타사업","범죄자[명]","명","206241","201313","174710","182263","240116","244665","228317","224332","206377","168497",
"계","피고용자","범죄자[명]","명","686948","670413","592642","581940","695098","699638","638860","584352","520682","416513",
"계","교원(사립)","범죄자[명]","명","1392","1358","1672","1838","1874","1631","1495","1681","1486","1043",
"계","사무원","범죄자[명]","명","3714","3088","2374","2363","3044","3250","3277","3152","2836","2283",
"계","기술자","범죄자[명]","명","5887","4729","10346","10613","14201","15076","13535","12710","10791","8458",
"계","점원","범죄자[명]","명","4442","4003","2170","2106","3998","3530","3410","2958","2222","1239",
"계","공원","범죄자[명]","명","7631","5581","4033","3773","4223","4044","3269","2771","2426","2098",
"계","운전사","범죄자[명]","명","97878","98040","83153","81292","89987","87805","81316","80195","74401","59089",
"계","경비원","범죄자[명]","명","4854","4617","4545","4732","6033","5849","5511","5424","4960","4162",
"계","외판원","범죄자[명]","명","1515","5517","5069","5241","6320","6931","5926","5240","4795","3783",
"계","국공영기업체직원","범죄자[명]","명","829","666","332","394","509","426","452","420","319","248",
"계","일반회사원","범죄자[명]","명","305225","293609","296116","293098","324088","329658","291529","269535","245230","202736",
"계","금융기관직원","범죄자[명]","명","2136","2052","1580","1451","2002","1753","1463","1451","1192","992",
"계","유흥업종사자","범죄자[명]","명","13166","9506","6053","5034","6822","6162","5143","4423","4123","2420",
"계","요식업종사자","범죄자[명]","명","15868","12941","10203","10318","13261","13510","12055","10822","9668","7052",
"계","일용노동자","범죄자[명]","명","99703","92664","72790","69677","81342","79560","71121","58767","47024","35772",
"계","기타피고용자","범죄자[명]","명","122708","132042","92206","90010","137394","140453","139358","124803","109209","85138",
"계","전문직","범죄자[명]","명","45031","45609","42600","43833","61707","62017","60088","59467","52893","42115",
"계","의사","범죄자[명]","명","5314","5481","5058","5081","6053","6176","5944","5895","5135","4803",
"계","변호사","범죄자[명]","명","404","465","487","471","529","578","560","651","679","713",
"계","교수","범죄자[명]","명","1134","1230","1042","1211","1364","1172","1144","1242","1205","802",
"계","종교가","범죄자[명]","명","5317","5143","5139","5067","5737","5547","5082","5127","4887","4279",
"계","언론인","범죄자[명]","명","945","1016","907","1022","1195","1311","1146","1395","1206","989",
"계","예술인","범죄자[명]","명","2479","2192","2484","2652","3755","3812","3611","3667","3207","2244",
"계","기타전문직","범죄자[명]","명","29438","30082","27483","28329","43074","43421","42601","41490","36574","28285",
"계","공무원","범죄자[명]","명","11270","11090","9889","9361","11243","12713","11924","12167","12163","11601",
"계","기타","범죄자[명]","명","676070","258435","381372","379159","216246","258065","220219","144197","226520","307015",
"계","학생","범죄자[명]","명","104063","112644","92104","86841","95639","92347","86443","77261","75022","72647",
"계","주부","범죄자[명]","명","43846","45469","42525","43197","47928","45878","40696","37197","36801","29880",
"계","전경.의경","범죄자[명]","명","308","170","114","113","94","101","100","115","97","63",
"계","공익요원","범죄자[명]","명","2402","2529","2285","1902","2260","2312","1847","1692","1192","745",
"계","기타","범죄자[명]","명","","97623","244344","247106","70325","117427","91133","27932","113408","203680",
"계","무직자","범죄자[명]","명","311895","301343","299894","292476","346553","337285","316821","306700","306783","296564",
"계","미상","범죄자[명]","명","213556","68648","107748","97070","45244","79741","67758","119793","142643","159005",
"강력범죄","계","범죄자[명]","명","25346","23789","25351","25065","25821","27071","28927","28302","28943","26971",
"강력범죄","자영자","범죄자[명]","명","3329","3086","2779","2949","3838","3844","4251","4518","4092","3500",
"강력범죄","농.임.수산업","범죄자[명]","명","389","370","407","421","437","423","424","405","408","346",
"강력범죄","광업","범죄자[명]","명","2","2","1","","","","-","-","-","-",
"강력범죄","제조업","범죄자[명]","명","80","61","51","54","96","90","87","85","83","51",
"강력범죄","건설업","범죄자[명]","명","178","159","179","222","278","300","326","372","361","272",
"강력범죄","도.소매업","범죄자[명]","명","203","147","49","32","69","75","67","54","39","23",
"강력범죄","무역업","범죄자[명]","명","34","20","25","18","21","33","36","27","22","14",
"강력범죄","요식업","범죄자[명]","명","247","237","157","140","184","181","218","198","196","153",
"강력범죄","숙박업","범죄자[명]","명","80","60","37","34","41","29","33","51","65","48",
"강력범죄","유흥업","범죄자[명]","명","240","212","112","117","110","97","111","104","98","78",
"강력범죄","금융업","범죄자[명]","명","24","21","18","17","14","15","14","21","18","17",
"강력범죄","부동산업","범죄자[명]","명","59","59","62","71","99","129","116","139","100","90",
"강력범죄","의료보건업","범죄자[명]","명","13","9","6","7","25","10","21","25","14","6",
"강력범죄","차량정비업","범죄자[명]","명","38","36","14","8","28","30","32","44","31","17",
"강력범죄","노점","범죄자[명]","명","53","40","34","35","54","31","36","28","23","13",
"강력범죄","행상","범죄자[명]","명","19","8","3","2","8","2","4","3","1","-",
"강력범죄","기타사업","범죄자[명]","명","1670","1645","1624","1771","2374","2399","2726","2962","2633","2372",
"강력범죄","피고용자","범죄자[명]","명","9127","8478","7731","7620","9383","9540","10394","10046","8949","7277",
"강력범죄","교원(사립)","범죄자[명]","명","27","21","54","66","92","60","86","125","73","33",
"강력범죄","사무원","범죄자[명]","명","99","32","13","29","47","47","46","48","52","32",
"강력범죄","기술자","범죄자[명]","명","95","58","199","187","263","281","336","269","241","181",
"강력범죄","점원","범죄자[명]","명","114","72","55","43","74","66","88","86","67","29",
"강력범죄","공원","범죄자[명]","명","230","213","159","148","162","149","104","93","90","65",
"강력범죄","운전사","범죄자[명]","명","784","782","669","664","722","774","763","781","698","575",
"강력범죄","경비원","범죄자[명]","명","109","95","98","115","133","142","174","158","140","94",
"강력범죄","외판원","범죄자[명]","명","17","76","62","56","75","89","90","76","82","83",
"강력범죄","국공영기업체직원","범죄자[명]","명","17","9","7","10","14","23","10","11","7","9",
"강력범죄","일반회사원","범죄자[명]","명","3397","3282","3523","3529","4132","4327","4813","4725","4443","3868",
"강력범죄","금융기관직원","범죄자[명]","명","27","21","27","18","39","43","34","46","37","22",
"강력범죄","유흥업종사자","범죄자[명]","명","287","146","110","96","103","116","93","81","78","49",
"강력범죄","요식업종사자","범죄자[명]","명","299","221","195","179","236","290","314","296","257","189",
"강력범죄","일용노동자","범죄자[명]","명","1776","1632","1352","1242","1398","1326","1373","1199","954","675",
"강력범죄","기타피고용자","범죄자[명]","명","1849","1818","1208","1238","1893","1807","2070","2052","1730","1373",
"강력범죄","전문직","범죄자[명]","명","691","669","676","684","1063","1126","1244","1383","1162","948",
"강력범죄","의사","범죄자[명]","명","73","90","88","81","105","118","124","138","137","140",
"강력범죄","변호사","범죄자[명]","명","2","5","7","3","2","13","3","14","13","13",
"강력범죄","교수","범죄자[명]","명","20","19","28","22","40","33","34","55","54","15",
"강력범죄","종교가","범죄자[명]","명","111","94","99","87","125","119","109","133","112","109",
"강력범죄","언론인","범죄자[명]","명","11","9","11","14","11","10","21","13","18","18",
"강력범죄","예술인","범죄자[명]","명","47","38","48","59","82","101","116","115","101","64",
"강력범죄","기타전문직","범죄자[명]","명","427","414","395","418","698","732","837","915","727","589",
"강력범죄","공무원","범죄자[명]","명","152","198","178","186","281","340","349","349","358","322",
"강력범죄","기타","범죄자[명]","명","12047","4522","6369","6088","3919","4587","4614","3796","5299","6183",
"강력범죄","학생","범죄자[명]","명","3290","3407","3114","2951","2944","3076","3173","3220","3175","2539",
"강력범죄","주부","범죄자[명]","명","90","74","75","87","82","89","96","92","73","70",
"강력범죄","전경.의경","범죄자[명]","명","20","12","13","11","11","19","16","18","11","6",
"강력범죄","공익요원","범죄자[명]","명","94","91","80","73","99","68","72","70","64","27",
"강력범죄","기타","범죄자[명]","명","","938","3087","2966","783","1335","1257","396","1976","3541",
"강력범죄","무직자","범죄자[명]","명","7320","6569","6428","6314","6835","6577","7061","6709","6968","6270",
"강력범죄","미상","범죄자[명]","명","1233","267","1190","1224","502","1057","1014","1501","2115","2471",
"살인기수","계","범죄자[명]","명","449","446","377","447","389","379","344","350","345","341",
"살인기수","자영자","범죄자[명]","명","54","55","41","50","52","36","41","48","40","34",
"살인기수","농.임.수산업","범죄자[명]","명","11","12","12","17","16","6","6","13","9","4",
"살인기수","광업","범죄자[명]","명","","","","","","","-","-","-","-",
"살인기수","제조업","범죄자[명]","명","2","1","1","1","1","1","-","-","1","-",
