"시설명","지점명","날짜","시간","PM10단위","PM10기준치","PM10측정값","PM10측정기","PM10D/L","CO2단위","CO2기준치","CO2측정값","CO2측정기","CO2D/L","CO단위","CO기준치","CO측정값","CO측정기","COD/L","NO2단위","NO2기준치","NO2측정값","NO2측정기","NO2D/L"
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-04-24","","㎍/㎥","150","13","정상","","ppm","1000","453","정상","","ppm","10","0.4","정상","","ppm","0.05","0.031","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-04-24","","㎍/㎥","150","31","정상","","ppm","1000","467","정상","","ppm","10","0.4","정상","","ppm","0.05","0.043","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-04-24","","㎍/㎥","150","51","정상","","ppm","1000","551","정상","","ppm","10","0.5","정상","","ppm","0.05","0.048","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-04-24","","㎍/㎥","150","37","정상","","ppm","1000","514","정상","","ppm","10","0.4","정상","","ppm","0.05","0.045","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-04-23","","㎍/㎥","150","21","정상","","ppm","1000","483","정상","","ppm","10","0.4","정상","","ppm","0.05","0.044","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-04-23","","㎍/㎥","150","53","정상","","ppm","1000","535","정상","","ppm","10","0.4","정상","","ppm","0.05","0.039","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-04-23","","㎍/㎥","150","11","정상","","ppm","1000","427","정상","","ppm","10","0.4","정상","","ppm","0.05","0.03","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-04-23","","㎍/㎥","150","33","정상","","ppm","1000","518","정상","","ppm","10","0.4","정상","","ppm","0.05","0.047","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-04-22","","㎍/㎥","150","47","정상","","ppm","1000","494","정상","","ppm","10","0.5","정상","","ppm","0.05","0.046","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-04-22","","㎍/㎥","150","49","정상","","ppm","1000","509","정상","","ppm","10","0.5","정상","","ppm","0.05","0.052","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-04-22","","㎍/㎥","150","37","정상","","ppm","1000","482","정상","","ppm","10","0.5","정상","","ppm","0.05","0.047","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-04-22","","㎍/㎥","150","32","정상","","ppm","1000","478","정상","","ppm","10","0.5","정상","","ppm","0.05","0.043","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-04-21","","㎍/㎥","150","65","정상","","ppm","1000","570","정상","","ppm","10","0.8","정상","","ppm","0.05","0.073","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-04-21","","㎍/㎥","150","56","정상","","ppm","1000","537","정상","","ppm","10","0.8","정상","","ppm","0.05","0.073","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-04-21","","㎍/㎥","150","65","정상","","ppm","1000","598","정상","","ppm","10","0.9","정상","","ppm","0.05","0.071","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-04-21","","㎍/㎥","150","68","정상","","ppm","1000","552","정상","","ppm","10","0.7","정상","","ppm","0.05","0.066","정상",""
"서울동대문역사문화공원역 [지자체]","역사문화공원역대합실","2018-04-20","","㎍/㎥","150","71","정상","","ppm","1000","529","정상","","ppm","10","1","정상","","ppm","0.05","0.087","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-04-20","","㎍/㎥","150","68","정상","","ppm","1000","557","정상","","ppm","10","0.9","정상","","ppm","0.05","0.084","정상",""
"서울충무로역 [지자체]","충무로역대합실","2018-04-20","","㎍/㎥","150","77","정상","","ppm","1000","605","정상","","ppm","10","1","정상","","ppm","0.05","0.085","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-04-20","","㎍/㎥","150","72","정상","","ppm","1000","585","정상","","ppm","10","0.7","정상","","ppm","0.05","0.073","정상",""
"서울역지하철 [지자체]","지하철서울역대합실","2018-04-17","","㎍/㎥","150","52","정상","","ppm","1000","516","정상","","ppm","10","0.6","정상","","ppm","0.05","0.061","정상",""
"서울시청역 [지자체]","서울시청대합실","2018-04-17","","㎍/㎥","150","53","정상","","ppm","1000","544","정상","","ppm","10","0.5","정상","","ppm","0.05","0.053","정상",""
